School Code,School Code Adjusted,School Name,KYReportCard URL
275099,275099,Minors Lane Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275099
275155,275155,Marion C. Moore School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275155
275041,275041,Newburg Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275041
275435,275435,Noe Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275435
275371,275371,Norton Commons Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275371
275096,275096,Norton Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275096
275027,275027,Okolona Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275027
275620,275620,Frederick Law Olmsted Academy North,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275620
275730,275730,Frederick Law Olmsted Academy South,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275730
275182,275182,Dr. William H. Perry Elementary School,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275182
275075,275075,Pleasure Ridge Park High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275075
275500,275500,Portland Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275500
275128,275128,Price Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275128
275219,275219,Ramsey Middle,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275219
275081,275081,Rangeland Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275081
275560,275560,Rutherford Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275560
275086,275086,Sanders Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275086
275063,275063,Schaffner Traditional Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275063
275580,275580,Semple Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275580
275073,275073,Seneca High,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275073
275097,275097,Shacklette Elementary,https://reportcard.kyschools.us/kysrc?organization=20232024:275:275097
