School Code,School Code Adjusted,School Name,Great Schools Rating,Great Schools URL,
275590,275590,The Academy @ Shawnee,1,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/
275590,2755901,The Academy @ Shawnee,1,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/
275590,2755902,The Academy @ Shawnee,1,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/,https://www.greatschools.org/kentucky/louisville/827-Academy-Shawnee-High-School/
275090,275090,Thomas Jefferson Middle,2,https://www.greatschools.org/kentucky/louisville/749-Thomas-Jefferson-Middle-School/,https://www.greatschools.org/kentucky/louisville/749-Thomas-Jefferson-Middle-School/
275104,275104,Trunnell Elementary,5,https://www.greatschools.org/kentucky/louisville/760-Trunnell-Elementary-School/,https://www.greatschools.org/kentucky/louisville/760-Trunnell-Elementary-School/
275016,275016,Tully Elementary,7,https://www.greatschools.org/kentucky/jeffersontown/709-Tully-Elementary-School/,https://www.greatschools.org/kentucky/jeffersontown/709-Tully-Elementary-School/
275033,275033,Valley High,1,https://www.greatschools.org/kentucky/louisville/715-Valley-Traditional-High-School/,https://www.greatschools.org/kentucky/louisville/715-Valley-Traditional-High-School/
275191,275191,W.E.B. DuBois Academy,4,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/
275191,2751912,W.E.B. DuBois Academy,4,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/
275191,2751911,W.E.B. DuBois Academy,4,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/,https://www.greatschools.org/kentucky/louisville/5317-W.E.B.-DuBois-Academy/
275051,275051,Waggener High,1,https://www.greatschools.org/kentucky/saint-matthews/722-Waggener-High-School/,https://www.greatschools.org/kentucky/saint-matthews/722-Waggener-High-School/
275072,275072,Watterson Elementary,4,https://www.greatschools.org/kentucky/louisville/735-Watterson-Elementary-School/,https://www.greatschools.org/kentucky/louisville/735-Watterson-Elementary-School/
275116,275116,Wellington Elementary,2,https://www.greatschools.org/kentucky/louisville/766-Wellington-Elementary-School/,https://www.greatschools.org/kentucky/louisville/766-Wellington-Elementary-School/
275084,275084,Western High,1,https://www.greatschools.org/kentucky/shively/745-Western-High-School/,https://www.greatschools.org/kentucky/shively/745-Western-High-School/
275710,275710,Western Middle School for the Arts,5,https://www.greatschools.org/kentucky/louisville/832-Western-Middle-School/,https://www.greatschools.org/kentucky/louisville/832-Western-Middle-School/
275077,275077,Westport Middle,5,https://www.greatschools.org/kentucky/louisville/739-Westport-Middle-School/,https://www.greatschools.org/kentucky/louisville/739-Westport-Middle-School/
275109,275109,Wheeler Elementary,7,https://www.greatschools.org/kentucky/louisville/764-Wheeler-Elementary-School/,https://www.greatschools.org/kentucky/louisville/764-Wheeler-Elementary-School/
275067,275067,Wilder Elementary,6,https://www.greatschools.org/kentucky/louisville/732-Wilder-Elementary-School/,https://www.greatschools.org/kentucky/louisville/732-Wilder-Elementary-School/
275066,275066,Wilkerson Elementary School,2,https://www.greatschools.org/kentucky/louisville/731-Wilkerson-Elementary-School/,https://www.greatschools.org/kentucky/louisville/731-Wilkerson-Elementary-School/
275117,275117,Wilt Elementary,4,https://www.greatschools.org/kentucky/louisville/767-Wilt-Elementary-School/,https://www.greatschools.org/kentucky/louisville/767-Wilt-Elementary-School/
275374,275374,Young Elementary,2,https://www.greatschools.org/kentucky/louisville/811-Young-Elementary-School/,https://www.greatschools.org/kentucky/louisville/811-Young-Elementary-School/
275078,275078,Zachary Taylor Elementary,3,https://www.greatschools.org/kentucky/louisville/740-Zachary-Taylor-Elementary-School/,https://www.greatschools.org/kentucky/louisville/740-Zachary-Taylor-Elementary-School/
